Code,Name,SVSPP,NESPP3,,,,,
BPF,RIBBONFISH,,98,,,,,
MA,ROCKWEED,,832,,,,,
FDE,ROUGH SCAD,,331,,,,,
FDE,ROUND SCAD,,77,,,,,
TYL,SAND TILEFISH,,445,,,,,
BFF,SEA CUCUMBERS,,806,,,,,
BG,SEA URCHINS,,805,,,,,Changed from MB - RJG
OSH,SHRIMP ROYAL RED,,733,,,,,
,SILVER&OFFSHHAKE MIX,,507,,,,,
,SKATES,,365,,,,,
TUN,SKIPJACK TUNA,,466,,,,,
BPF,SNAPPER,,336,,,,,
REP,SNAPPER TURTLE,,815,,,,,
BPF,SNOWY GROUPER,,146,,,,,
BFF,SOFT CLAM,,763,,,,,
FLA,SOUTHERN FLOUNDER,,130,,,,,
BPF,SOUTHERN HAKE,,661,,,,,
FDE,SPADEFISH,,381,,,,,
BPF,SPANISH MACKEREL,,384,,,,,
PSH,SPINNER SHARK,,488,,,,,
DRM,SPOTTED WEAKFISH,,345,,,,,
BPF,SQUIRRELFISH,,24,,,,,
BPF,STEELHEAD TROUT,,415,,,,,
FDE,STRIPED MULLET,,235,,,,,
FDE,SUCKERS,,423,,,,,
BPF,SUNFISHES,,426,,,,,
BPF,TARPON,,435,,,,,
DSH,THRESHER UNC SHARK,,360,,,,,Acts mostly like a TUN though unrelated
PSH,THRESHR BGEYE SHARK,,354,,,,,
BPF,TRIGGERFISH,,456,,,,,
BPF,TRIPLETAIL,,459,,,,,"Pelagic, basically a mackerel type… closest is benthopelagic or other tunas, since it's a scombrid like tunas I'm putting it there (RJG)"
BPF,VERMILLION SNAPPER,,374,,,,,
TUN,WAHOO,,472,,,,,
BMS,WAVED WHELK,,779,,,,,
BPF,WENCHMAN,,379,,,,,Maybe split between DSH and PSH?
FDE,WHITE PERCH,,506,,,,,"Maybe split between BPF and FDF, if pick one, then probably BPF"
PSH,WHITETIP OC SHARK,,490,,,,,SPLIT
WOL,WOLFFISHES,,512,,,,,SPLIT
BPF,WRECKFISH,,513,,,,,SPLIT
FDE,YELLOW PERCH,,517,,,,,SPLIT
BPF,YELLOWEDGE GROUPER,,142,,,,,"CLA,QHG"
TUN,YELLOWFIN TUNA,,471,,,,,SPLIT
