Code,Name,SVSPP,NESPP3,comments
FDF,Northern puffer,196,429,
BIL,Swordfish,700,432,
TAU,Tautog,177,438,
TYL,Blueline tilefish,621,444,
TYL,Tilefish,151,446,
TYL,Tilefish unclassified,NA,447,
FDF,Oyster toadfish,185,451,
FDF,Tomcod,453,453,
TUN,Blackfin tuna,705,464,
BFT,Atlantic bluefin tuna,747,467,
TUN,Little tunny,743,468,
TUN,Bigeye tuna,706,469,
TUN,Albacore,703,470,
DSH,Atlantic angel shark,16,477,
DSH,Scalloped hammerhead,362,478,
PSH,White shark,351,480,
POR,Porbeagle shark,353,481,
SSH,Sandbar shark,9,482,
PSH,Bignose shark,929,483,
PSH,Dusky shark,3,484,
PSH,Silky shark,355,485,
PSH,Blacktip shark,357,487,
DSH,Bull shark,356,489,
PSH,Tiger shark,358,491,
DSH,Lemon shark,359,492,
BLS,Blue shark,17,493,
DSH,Sharpnose shark,360,494,
PSH,Finetooth shark,928,499,
PSH,Blacknose shark,354,503,
OHK,Offshore hake,69,508,
SHK,Silver hake,72,509,
WOL,Spotted wolffish,NA,510,
FDF,Ninespine stickleback,902,522,
SK,Atlantic torpedo,21,365,unclassified code
FDF,Fourbeard rockling,83,526,unclassified code
FDF,Inshore lizardfish,435,526,unclassified code
FDF,Lookdown,133,526,unclassified code
FDF,Northern pipefish,116,526,unclassified code
MPF,Lanternfish,56,655,
FDF,Spotted hake,78,662,
WOL,Northern wolffish,NA,668,
BMS,Blue crab,314,700,
BMS,Lady crab,322,701,
BMS,Hermit crab,NA,702,
BMS,Green crab,327,708,
RCB,Red deep-sea crab,310,710,
BMS,Jonah crab,312,711,
BMS,Atantic rock crab,313,712,
BMS,Cancer crab,311,714,
BMS,Spider crab,317,715,
BMS,Snow crab,325,718,
BMS,Horseshoe crab,318,724,
LOB,Lobster,301,727,
NSH,Northern shrimp and other pandalids,306,736,
QHG,Ocean quahog,409,754,
BFF,Arctic surfclam,407,765,
CLA,Atlantic surf clam,403,769,
BMS,Knobbed whelk,337,777,
BC,Octopus unclassified,510,786,
BFF,Iceland scallop,340,795,
BFF,Scallop unclassified,NA,796,
BFF,Atlantic calico scallop,404,797,
BFF,Bay scallop,402,799,
SCA,Sea scallop,401,800,
LSQ,Loligo squid,503,801,
ISQ,Illex squid,502,802,
REP,Green seaturtle,951,809,
REP,Kemp’s Ridley seaturtle,954,810,
REP,Leatherback seaturtle,952,812,
REP,Loggerhead seaturtle,950,813,
REP,Hawksbill seaturtle,953,814,
REP,Turtles unclassified,NA,816,
REP,Olive Ridley seaturtle,NA,818,
BC,Starfish,NA,828,
NSH,Aesop shrimp,297,NA,
BG,All Benthic grazers,331,NA,
ZL,All carnivorous zooplankton,NA,NA,
BD,All Deposit Feeders,NA,NA,
INV,All Invasive vertebrate species,NA,NA,
PIN,All Pinnipeds,NA,NA,
BPF,Argentine,46,NA,
FDF,Atlantic moonfish,132,NA,
BWH,Baleen whales,NA,NA,
FDF,Blackspotted stickleback,901,NA,
SK,Bluntnose stingray,18,NA,
NSH,Bristled longbeak,296,NA,
OSH,Brown shrimp,913,NA,
SK,Bullnose ray,19,NA,
DC,Carrion,NA,NA,
FDF,Chain pipefish,495,NA,
BC,Common octopus,511,NA,
PL,Diatom,NA,NA,
DF,Dinoflagellates,NA,NA,
FDF,Dusky pipefish,494,NA,
FDF,Fourspine stickleback,488,NA,
ZG,Gelatinous zooplankton,NA,NA,
DL,Labile detritus,NA,NA,
FDF,Largescale lizardfish,433,NA,
FDF,Lizardfish unclassified,852,NA,
FDF,Longspine scorpionfish,154,NA,
FDF,Longspine snipefish,111,NA,
MA,Macroalgae,NA,NA,
BO,Meiobenthos,NA,NA,
ZM,Mesozooplankton,NA,NA,
MB,Microphtybenthos,NA,NA,
ZS,Microzooplankton,NA,NA,
FDF,Moustache sculpin,161,NA,
FDF,Offshore lizardfish,437,NA,
OSH,Other penaeids,307,NA,
PB,Pelagic Bacteria,NA,NA,
PS,Pico-phytoplankton,NA,NA,
OSH,Pink shrimp,914,NA,
FDF,Pipefish unclassified,421,NA,
FDF,Red lizardfish,438,NA,
DR,Refractory detritus,NA,NA,
RWH,Right whales,NA,NA,
SK,Roughtail stingray,4,NA,
SB,Seabirds,NA,NA,
SG,Seagrass,NA,NA,
BB,Sediment Bacteria,NA,NA,
FDF,Shorthorn sculpin,162,NA,
FDF,Shortjaw lizardfish,434,NA,
DRM,Silver perch,148,NA,
SWH,Small toothed whales,NA,NA,
BC,Spoonarm octopus,512,NA,
SK,Spotted eagle ray,271,NA,
ANC,Striped anchovy,44,NA,
FDF,Threebeard rockling,85,NA,
FDF,Threespine stickleback,115,NA,
TWH,Toothed whales ,NA,NA,
FDF,Trumpetfish,119,NA,
BC,Unicorn octopus,513,NA,
MPF,Weitzmans pearlsides,229,NA,
OSH,White shrimp,915,NA,
FDF,Whitenose pipefish,491,NA,
FDF,Wrymouth,191,NA,
SK,Yellow stingray,377,NA,
WOL,Atlantic Wolffish,192,512,
