"Run.ID","Group","Code","Type","Unit","Value","bio.file","run.sh.file"
46,"Set3","SB","mLa","scalar",263158.631578947,"at_biology_46.prm","RunAtlantis_46.sh"
47,"Set3","SB","mLa","scalar",315790.157894737,"at_biology_47.prm","RunAtlantis_47.sh"
48,"Set3","SB","mLa","scalar",368421.684210526,"at_biology_48.prm","RunAtlantis_48.sh"
49,"Set3","SB","mLa","scalar",421053.210526316,"at_biology_49.prm","RunAtlantis_49.sh"
50,"Set3","SB","mLa","scalar",473684.736842105,"at_biology_50.prm","RunAtlantis_50.sh"
51,"Set3","SB","mLa","scalar",526316.263157895,"at_biology_51.prm","RunAtlantis_51.sh"
52,"Set3","SB","mLa","scalar",578947.789473684,"at_biology_52.prm","RunAtlantis_52.sh"
53,"Set3","SB","mLa","scalar",631579.315789474,"at_biology_53.prm","RunAtlantis_53.sh"
54,"Set3","SB","mLa","scalar",684210.842105263,"at_biology_54.prm","RunAtlantis_54.sh"
55,"Set3","SB","mLa","scalar",736842.368421053,"at_biology_55.prm","RunAtlantis_55.sh"
56,"Set3","SB","mLa","scalar",789473.894736842,"at_biology_56.prm","RunAtlantis_56.sh"
57,"Set3","SB","mLa","scalar",842105.421052632,"at_biology_57.prm","RunAtlantis_57.sh"
58,"Set3","SB","mLa","scalar",894736.947368421,"at_biology_58.prm","RunAtlantis_58.sh"
59,"Set3","SB","mLa","scalar",947368.473684211,"at_biology_59.prm","RunAtlantis_59.sh"
60,"Set3","SB","mLa","scalar",1e+06,"at_biology_60.prm","RunAtlantis_60.sh"
