"Species","Cohort","N.Type","N.Value"
"Baleen_Whale",10,"Structural",133037010.671669
"Benthopelagic_Fish",1,"Reserve",404.252420368012
"Benthopelagic_Fish",1,"Structural",152.548083157741
"Benthopelagic_Fish",2,"Reserve",1099.67022514479
"Benthopelagic_Fish",2,"Structural",414.969896281052
"Benthopelagic_Fish",3,"Reserve",1513.34463711918
"Benthopelagic_Fish",3,"Structural",571.073447969504
"Benthopelagic_Fish",4,"Reserve",1702.20148679519
"Benthopelagic_Fish",4,"Structural",642.340183696298
"Benthopelagic_Fish",5,"Reserve",1781.11819417359
"Benthopelagic_Fish",5,"Structural",672.120073273052
"Benthopelagic_Fish",6,"Reserve",1813.02716137712
"Benthopelagic_Fish",6,"Structural",684.161192972498
"Benthopelagic_Fish",7,"Reserve",1825.76609975139
"Benthopelagic_Fish",7,"Structural",688.968339528826
"Benthopelagic_Fish",8,"Reserve",1830.8265307328
"Benthopelagic_Fish",8,"Structural",690.877936125584
"Benthopelagic_Fish",9,"Reserve",1832.83279102057
"Benthopelagic_Fish",9,"Structural",691.63501547946
"Benthopelagic_Fish",10,"Reserve",1833.62757519493
"Benthopelagic_Fish",10,"Structural",691.934934035821
"Billfish",1,"Reserve",708716.061678275
"Billfish",1,"Structural",267440.023274821
"Billfish",2,"Reserve",1898438.43248633
"Billfish",2,"Structural",716391.861315596
"Billfish",3,"Reserve",2968591.60799938
"Billfish",3,"Structural",1120223.24830165
"Billfish",4,"Reserve",3735389.93519604
"Billfish",4,"Structural",1409581.10762115
"Billfish",5,"Reserve",4231195.35981842
"Billfish",5,"Structural",1596677.4942711
"Billfish",6,"Reserve",4535505.06469538
"Billfish",6,"Structural",1711511.34516807
"Billfish",7,"Reserve",4717125.37625309
"Billfish",7,"Structural",1780047.31179362
"Billfish",8,"Reserve",4823853.70515537
"Billfish",8,"Structural",1820322.15288882
"Billfish",9,"Reserve",4886026.75278211
"Billfish",9,"Structural",1843783.68029513
"Billfish",10,"Reserve",4922065.34963554
"Billfish",10,"Structural",1857383.15080587
"Black_Sea_Bass",1,"Reserve",1888.48592314816
"Black_Sea_Bass",1,"Structural",712.636197414398
"Black_Sea_Bass",2,"Reserve",7298.59298544458
"Black_Sea_Bass",2,"Structural",2754.18603224324
"Black_Sea_Bass",3,"Reserve",12221.9885466209
"Black_Sea_Bass",3,"Structural",4612.07114966827
"Black_Sea_Bass",4,"Reserve",15465.0890559273
"Black_Sea_Bass",4,"Structural",5835.88266261409
"Black_Sea_Bass",5,"Reserve",17345.8427684625
"Black_Sea_Bass",5,"Structural",6545.60104470284
"Black_Sea_Bass",6,"Reserve",18375.0380260335
"Black_Sea_Bass",6,"Structural",6933.97661359756
"Black_Sea_Bass",7,"Reserve",18922.5817968709
"Black_Sea_Bass",7,"Structural",7140.59690447958
"Black_Sea_Bass",8,"Reserve",19209.7959044612
"Black_Sea_Bass",8,"Structural",7248.97958658913
"Black_Sea_Bass",9,"Reserve",19359.3755081997
"Black_Sea_Bass",9,"Structural",7305.42472007534
"Black_Sea_Bass",10,"Reserve",19436.9893877635
"Black_Sea_Bass",10,"Structural",7334.71297651452
"Blue_Shark",1,"Reserve",457137.685657535
"Blue_Shark",1,"Structural",172504.787040579
"Blue_Shark",2,"Reserve",464126.130135957
"Blue_Shark",2,"Structural",175141.935900361
"Blue_Shark",3,"Reserve",464171.602040224
"Blue_Shark",3,"Structural",175159.095109518
"Blue_Shark",4,"Reserve",464171.896423563
"Blue_Shark",4,"Structural",175159.206197571
"Blue_Shark",5,"Reserve",464171.898329327
"Blue_Shark",5,"Structural",175159.206916727
"Blue_Shark",6,"Reserve",464171.898341665
"Blue_Shark",6,"Structural",175159.206921383
"Blue_Shark",7,"Reserve",464171.898341744
"Blue_Shark",7,"Structural",175159.206921413
"Blue_Shark",8,"Reserve",464171.898341745
"Blue_Shark",8,"Structural",175159.206921413
"Blue_Shark",9,"Reserve",464171.898341745
"Blue_Shark",9,"Structural",175159.206921413
"Blue_Shark",10,"Reserve",464171.898341745
"Blue_Shark",10,"Structural",175159.206921413
"BluefinTuna",1,"Reserve",618768.082042032
"BluefinTuna",1,"Structural",233497.389449823
"BluefinTuna",2,"Reserve",1692600.01995867
"BluefinTuna",2,"Structural",638716.988663651
"BluefinTuna",3,"Reserve",2827857.35268763
"BluefinTuna",3,"Structural",1067115.98214628
"BluefinTuna",4,"Reserve",3684259.46923473
"BluefinTuna",4,"Structural",1390286.59216405
"BluefinTuna",5,"Reserve",4258707.22324194
"BluefinTuna",5,"Structural",1607059.32952526
"BluefinTuna",6,"Reserve",4621722.72018188
"BluefinTuna",6,"Structural",1744046.3095026
"BluefinTuna",7,"Reserve",4843837.25447967
"BluefinTuna",7,"Structural",1827863.11489799
"BluefinTuna",8,"Reserve",4977303.12902356
"BluefinTuna",8,"Structural",1878227.59585795
"BluefinTuna",9,"Reserve",5056676.40995844
"BluefinTuna",9,"Structural",1908179.77734281
"BluefinTuna",10,"Reserve",5103599.42624293
"BluefinTuna",10,"Structural",1925886.57594073
"Bluefish",1,"Reserve",996.270685848999
"Bluefish",1,"Structural",375.95120220717
"Bluefish",2,"Reserve",3465.70349923923
"Bluefish",2,"Structural",1307.81264122235
"Bluefish",3,"Reserve",6716.42019492875
"Bluefish",3,"Structural",2534.49818676557
"Bluefish",4,"Reserve",10063.4286857429
"Bluefish",4,"Structural",3797.5202587709
"Bluefish",5,"Reserve",13109.0692901789
"Bluefish",5,"Structural",4946.81860006752
"Bluefish",6,"Reserve",15689.0925188695
"Bluefish",6,"Structural",5920.41227127151
"Bluefish",7,"Reserve",17778.7562520503
"Bluefish",7,"Structural",6708.96462341522
"Bluefish",8,"Reserve",19421.9394542273
"Bluefish",8,"Structural",7329.03375631217
"Bluefish",9,"Reserve",20688.297623037
"Bluefish",9,"Structural",7806.90476341019
"Bluefish",10,"Reserve",21650.684785804
"Bluefish",10,"Structural",8170.06973049206
"Butterfish",1,"Reserve",270.39361778801
"Butterfish",1,"Structural",102.035327467174
"Butterfish",2,"Reserve",713.81627370801
"Butterfish",2,"Structural",269.364631587928
"Butterfish",3,"Reserve",994.775606306389
"Butterfish",3,"Structural",375.387021247694
"Butterfish",4,"Reserve",1132.98303431813
"Butterfish",4,"Structural",427.540767667217
"Butterfish",5,"Reserve",1195.12347955178
"Butterfish",5,"Structural",450.98999228369
"Butterfish",6,"Reserve",1222.08864083106
"Butterfish",6,"Structural",461.165524841908
"Butterfish",7,"Reserve",1233.62032550348
"Butterfish",7,"Structural",465.517103963577
"Butterfish",8,"Reserve",1238.52185921836
"Butterfish",8,"Structural",467.366739327683
"Butterfish",9,"Reserve",1240.59990578128
"Butterfish",9,"Structural",468.150907841994
"Butterfish",10,"Reserve",1241.479955743
"Butterfish",10,"Structural",468.483002167171
"Cod",1,"Reserve",5213.45708845623
"Cod",1,"Structural",1967.34229753065
"Cod",2,"Reserve",28285.7797011865
"Cod",2,"Structural",10673.8791325232
"Cod",3,"Reserve",63557.9623711508
"Cod",3,"Structural",23984.1367438305
"Cod",4,"Reserve",101805.087052913
"Cod",4,"Structural",38417.0139822313
"Cod",5,"Reserve",137164.462622101
"Cod",5,"Structural",51760.1745743776
"Cod",6,"Reserve",167095.166466304
"Cod",6,"Structural",63054.7797986053
"Cod",7,"Reserve",191109.865183359
"Cod",7,"Structural",72116.9302578713
"Cod",8,"Reserve",209726.686981299
"Cod",8,"Structural",79142.1460306788
"Cod",9,"Reserve",223832.480923404
"Cod",9,"Structural",84465.087140907
"Cod",10,"Reserve",234354.99848492
"Cod",10,"Structural",88435.8484848754
"Demersal_Shark",1,"Reserve",1966747.48620926
"Demersal_Shark",1,"Structural",742168.862720476
"Demersal_Shark",2,"Reserve",2142161.62345529
"Demersal_Shark",2,"Structural",808362.876775581
"Demersal_Shark",3,"Reserve",2148428.31003542
"Demersal_Shark",3,"Structural",810727.66416431
"Demersal_Shark",4,"Reserve",2148645.77584691
"Demersal_Shark",4,"Structural",810809.726734685
"Demersal_Shark",5,"Reserve",2148653.31475721
"Demersal_Shark",5,"Structural",810812.571606494
"Demersal_Shark",6,"Reserve",2148653.57610033
"Demersal_Shark",6,"Structural",810812.670226539
"Demersal_Shark",7,"Reserve",2148653.58516001
"Demersal_Shark",7,"Structural",810812.673645287
"Demersal_Shark",8,"Reserve",2148653.58547407
"Demersal_Shark",8,"Structural",810812.673763801
"Demersal_Shark",9,"Reserve",2148653.58548496
"Demersal_Shark",9,"Structural",810812.673767909
"Demersal_Shark",10,"Reserve",2148653.58548534
"Demersal_Shark",10,"Structural",810812.673768052
"Drums_Croakers",1,"Reserve",4003.39812146458
"Drums_Croakers",1,"Structural",1510.71627225078
"Drums_Croakers",2,"Reserve",8023.57232971087
"Drums_Croakers",2,"Structural",3027.76314328712
"Drums_Croakers",3,"Reserve",9393.43681644364
"Drums_Croakers",3,"Structural",3544.69313828062
"Drums_Croakers",4,"Reserve",9774.66922890693
"Drums_Croakers",4,"Structural",3688.55442600262
"Drums_Croakers",5,"Reserve",9875.7626719816
"Drums_Croakers",5,"Structural",3726.70289508739
"Drums_Croakers",6,"Reserve",9902.24198856488
"Drums_Croakers",6,"Structural",3736.69509002448
"Drums_Croakers",7,"Reserve",9909.15557741069
"Drums_Croakers",7,"Structural",3739.30399147573
"Drums_Croakers",8,"Reserve",9910.95917290313
"Drums_Croakers",8,"Structural",3739.98459354835
"Drums_Croakers",9,"Reserve",9911.42958726753
"Drums_Croakers",9,"Structural",3740.16210840284
"Drums_Croakers",10,"Reserve",9911.55227395873
"Drums_Croakers",10,"Structural",3740.20840526744
"Fourspotflounder",1,"Reserve",292.032019425707
"Fourspotflounder",1,"Structural",110.200762047436
"Fourspotflounder",2,"Reserve",1169.44872326479
"Fourspotflounder",2,"Structural",441.30140500558
"Fourspotflounder",3,"Reserve",2129.60231308135
"Fourspotflounder",3,"Structural",803.62351437032
"Fourspotflounder",4,"Reserve",2900.55627735218
"Fourspotflounder",4,"Structural",1094.54953862346
"Fourspotflounder",5,"Reserve",3441.79115593533
"Fourspotflounder",5,"Structural",1298.7891154473
"Fourspotflounder",6,"Reserve",3796.79200882855
"Fourspotflounder",6,"Structural",1432.75170144474
"Fourspotflounder",7,"Reserve",4021.16431428259
"Fourspotflounder",7,"Structural",1517.42049595569
"Fourspotflounder",8,"Reserve",4160.01844075242
"Fourspotflounder",8,"Structural",1569.81827952921
"Fourspotflounder",9,"Reserve",4244.90304030561
"Fourspotflounder",9,"Structural",1601.85020388891
"Fourspotflounder",10,"Reserve",4296.42181029055
"Fourspotflounder",10,"Structural",1621.29124916625
"Haddock",1,"Reserve",4989.63315847287
"Haddock",1,"Structural",1882.88043715957
"Haddock",2,"Reserve",11285.7180896906
"Haddock",2,"Structural",4258.76154327945
"Haddock",3,"Reserve",13908.0195300437
"Haddock",3,"Structural",5248.30925662025
"Haddock",4,"Reserve",14771.9499992247
"Haddock",4,"Structural",5574.32075442442
"Haddock",5,"Reserve",15039.111125071
"Haddock",5,"Structural",5675.13627361169
"Haddock",6,"Reserve",15120.2152490902
"Haddock",6,"Structural",5705.74160343027
"Haddock",7,"Reserve",15144.7012756987
"Haddock",7,"Structural",5714.98161347121
"Haddock",8,"Reserve",15152.0815854817
"Haddock",8,"Structural",5717.76663603082
"Haddock",9,"Reserve",15154.3049694008
"Haddock",9,"Structural",5718.60564883049
"Haddock",10,"Reserve",15154.974683074
"Haddock",10,"Structural",5718.85837097132
"Halibut",1,"Reserve",15050.8001166871
"Halibut",1,"Structural",5679.54721384419
"Halibut",2,"Reserve",109985.812602434
"Halibut",2,"Structural",41504.0802273336
"Halibut",3,"Reserve",301099.37718858
"Halibut",3,"Structural",113622.406486257
"Halibut",4,"Reserve",564615.644512432
"Halibut",4,"Structural",213062.507363182
"Halibut",5,"Reserve",867969.935025248
"Halibut",5,"Structural",327535.82453783
"Halibut",6,"Reserve",1182808.21532756
"Halibut",6,"Structural",446342.722765118
"Halibut",7,"Reserve",1488687.97976778
"Halibut",7,"Structural",561769.048968972
"Halibut",8,"Reserve",1772816.07386396
"Halibut",8,"Structural",668987.197684512
"Halibut",9,"Reserve",2028451.65722156
"Halibut",9,"Structural",765453.455555306
"Halibut",10,"Reserve",2253135.5371971
"Halibut",10,"Structural",850239.825357397
"Herring",1,"Reserve",7.34942290946954
"Herring",1,"Structural",2.77336713564888
"Herring",2,"Reserve",155.883335911252
"Herring",2,"Structural",58.8239003438688
"Herring",3,"Reserve",488.949717323603
"Herring",3,"Structural",184.509327291926
"Herring",4,"Reserve",910.059410882628
"Herring",4,"Structural",343.418645616086
"Herring",5,"Reserve",1333.53320387701
"Herring",5,"Structural",503.220076934721
"Herring",6,"Reserve",1711.9630777195
"Herring",6,"Structural",646.023802913018
"Herring",7,"Reserve",2027.55399393109
"Herring",7,"Structural",765.114714690979
"Herring",8,"Reserve",2279.53105518833
"Herring",8,"Structural",860.200398184275
"Herring",9,"Reserve",2475.02995920555
"Herring",9,"Structural",933.97356951153
"Herring",10,"Reserve",2623.7868188147
"Herring",10,"Structural",990.108233514983
"Invasive_Species",1,"Reserve",3499.59087911025
"Invasive_Species",1,"Structural",1320.60033173972
"Invasive_Species",2,"Reserve",7022.06844053489
"Invasive_Species",2,"Structural",2649.83714737166
"Invasive_Species",3,"Reserve",8147.53497671308
"Invasive_Species",3,"Structural",3074.54150064645
"Invasive_Species",4,"Reserve",8439.74157999587
"Invasive_Species",4,"Structural",3184.80814339467
"Invasive_Species",5,"Reserve",8512.14443016694
"Invasive_Species",5,"Structural",3212.1299736479
"Invasive_Species",6,"Reserve",8529.88477847197
"Invasive_Species",6,"Structural",3218.82444470641
"Invasive_Species",7,"Reserve",8534.21976598029
"Invasive_Species",7,"Structural",3220.46028904917
"Invasive_Species",8,"Reserve",8535.27835067578
"Invasive_Species",8,"Structural",3220.85975497199
"Invasive_Species",9,"Reserve",8535.53681052736
"Invasive_Species",9,"Structural",3220.95728699146
"Invasive_Species",10,"Reserve",8535.5999125693
"Invasive_Species",10,"Structural",3220.98109908275
"Little_Skate",1,"Reserve",12572.6303387739
"Little_Skate",1,"Structural",4744.38880708451
"Little_Skate",2,"Reserve",16920.3614086581
"Little_Skate",2,"Structural",6385.04204100307
"Little_Skate",3,"Reserve",17514.1008100629
"Little_Skate",3,"Structural",6609.09464530677
"Little_Skate",4,"Reserve",17587.7637617609
"Little_Skate",4,"Structural",6636.89198557017
"Little_Skate",5,"Reserve",17596.7986620267
"Little_Skate",5,"Structural",6640.30138189687
"Little_Skate",6,"Reserve",17597.9052596757
"Little_Skate",6,"Structural",6640.71896591534
"Little_Skate",7,"Reserve",17598.040772911
"Little_Skate",7,"Structural",6640.77010298529
"Little_Skate",8,"Reserve",17598.0573674264
"Little_Skate",8,"Structural",6640.77636506656
"Little_Skate",9,"Reserve",17598.0593995322
"Little_Skate",9,"Structural",6640.77713189894
"Little_Skate",10,"Reserve",17598.0596483766
"Little_Skate",10,"Structural",6640.7772258025
"Mackerel",1,"Reserve",854.007921070072
"Mackerel",1,"Structural",322.267140026442
"Mackerel",2,"Reserve",1591.38264736774
"Mackerel",2,"Structural",600.521753723674
"Mackerel",3,"Reserve",2379.02592613018
"Mackerel",3,"Structural",897.745632501956
"Mackerel",4,"Reserve",3131.4735681236
"Mackerel",4,"Structural",1181.68813891457
"Mackerel",5,"Reserve",3803.01633072939
"Mackerel",5,"Structural",1435.10050216203
"Mackerel",6,"Reserve",4376.30472911863
"Mackerel",6,"Structural",1651.43574683722
"Mackerel",7,"Reserve",4851.08462902182
"Mackerel",7,"Structural",1830.59797321578
"Mackerel",8,"Reserve",5235.97022448984
"Mackerel",8,"Structural",1975.8378205622
"Mackerel",9,"Reserve",5543.22357809032
"Mackerel",9,"Structural",2091.78248229823
"Mackerel",10,"Reserve",5785.76575104526
"Mackerel",10,"Structural",2183.30783058312
"Menhaden",1,"Reserve",27.4903633797712
"Menhaden",1,"Structural",10.3737220301023
"Menhaden",2,"Reserve",147.560784957118
"Menhaden",2,"Structural",55.6833150781577
"Menhaden",3,"Reserve",348.74781016152
"Menhaden",3,"Structural",131.602947230762
"Menhaden",4,"Reserve",593.874893399712
"Menhaden",4,"Structural",224.103733358382
"Menhaden",5,"Reserve",850.083744019712
"Menhaden",5,"Structural",320.786318498005
"Menhaden",6,"Reserve",1095.30335366864
"Menhaden",6,"Structural",413.322020252319
"Menhaden",7,"Reserve",1317.26921165509
"Menhaden",7,"Structural",497.082721379278
"Menhaden",8,"Reserve",1510.77599462171
"Menhaden",8,"Structural",570.104148913854
"Menhaden",9,"Reserve",1675.08252165009
"Menhaden",9,"Structural",632.106611943432
"Menhaden",10,"Reserve",1811.96467161593
"Menhaden",10,"Structural",683.760253439973
"Mesopelagic_Mig_Fish",1,"Reserve",4.95357323371239
"Mesopelagic_Mig_Fish",1,"Structural",1.86927291838204
"Mesopelagic_Mig_Fish",2,"Reserve",11.5552586147386
"Mesopelagic_Mig_Fish",2,"Structural",4.36047494895796
"Mesopelagic_Mig_Fish",3,"Reserve",18.9254952393617
"Mesopelagic_Mig_Fish",3,"Structural",7.14169631674025
"Mesopelagic_Mig_Fish",4,"Reserve",25.894694478993
"Mesopelagic_Mig_Fish",4,"Structural",9.7715828222615
"Mesopelagic_Mig_Fish",5,"Reserve",31.9073937007664
"Mesopelagic_Mig_Fish",5,"Structural",12.0405259248175
"Mesopelagic_Mig_Fish",6,"Reserve",36.8135319443867
"Mesopelagic_Mig_Fish",6,"Structural",13.8918988469384
"Mesopelagic_Mig_Fish",7,"Reserve",40.6754391791113
"Mesopelagic_Mig_Fish",7,"Structural",15.3492223317401
"Mesopelagic_Mig_Fish",8,"Reserve",43.6431694900413
"Mesopelagic_Mig_Fish",8,"Structural",16.4691205622797
"Mesopelagic_Mig_Fish",9,"Reserve",45.8864865006679
"Mesopelagic_Mig_Fish",9,"Structural",17.3156552832709
"Mesopelagic_Mig_Fish",10,"Reserve",47.5628488734346
"Mesopelagic_Mig_Fish",10,"Structural",17.9482448578999
"Misc_Demersal_Fish",1,"Reserve",127.131497649247
"Misc_Demersal_Fish",1,"Structural",47.9741500563195
"Misc_Demersal_Fish",2,"Reserve",784.30985987619
"Misc_Demersal_Fish",2,"Structural",295.96598485894
"Misc_Demersal_Fish",3,"Reserve",2009.24330902581
"Misc_Demersal_Fish",3,"Structural",758.205022273891
"Misc_Demersal_Fish",4,"Reserve",3618.72091612379
"Misc_Demersal_Fish",4,"Structural",1365.55506268822
"Misc_Demersal_Fish",5,"Reserve",5403.10690170026
"Misc_Demersal_Fish",5,"Structural",2038.90826479255
"Misc_Demersal_Fish",6,"Reserve",7196.29111158958
"Misc_Demersal_Fish",6,"Structural",2715.58155154324
"Misc_Demersal_Fish",7,"Reserve",8888.79589462715
"Misc_Demersal_Fish",7,"Structural",3354.26260174609
"Misc_Demersal_Fish",8,"Reserve",10419.6936633383
"Misc_Demersal_Fish",8,"Structural",3931.95987295784
"Misc_Demersal_Fish",9,"Reserve",11763.3108471439
"Misc_Demersal_Fish",9,"Structural",4438.98522533732
"Misc_Demersal_Fish",10,"Reserve",12916.9391533908
"Misc_Demersal_Fish",10,"Structural",4874.31666165691
"Monkfish",1,"Reserve",170.201929644982
"Monkfish",1,"Structural",64.2271432622573
"Monkfish",2,"Reserve",1367.13808119605
"Monkfish",2,"Structural",515.901162715489
"Monkfish",3,"Reserve",4209.80597845233
"Monkfish",3,"Structural",1588.60602960465
"Monkfish",4,"Reserve",8912.11674827721
"Monkfish",4,"Structural",3363.06292387819
"Monkfish",5,"Reserve",15436.7575421664
"Monkfish",5,"Structural",5825.19152534581
"Monkfish",6,"Reserve",23600.6836727287
"Monkfish",6,"Structural",8905.91836706744
"Monkfish",7,"Reserve",33146.0255034472
"Monkfish",7,"Structural",12507.9341522442
"Monkfish",8,"Reserve",43786.5626593017
"Monkfish",8,"Structural",16523.2311921893
"Monkfish",9,"Reserve",55237.1096663976
"Monkfish",9,"Structural",20844.1923269425
"Monkfish",10,"Reserve",67231.098821483
"Monkfish",10,"Structural",25370.225970371
"Ocean_Pout",1,"Reserve",850.278688072852
"Ocean_Pout",1,"Structural",320.859882291642
"Ocean_Pout",2,"Reserve",4612.51505470009
"Ocean_Pout",2,"Structural",1740.57171875475
"Ocean_Pout",3,"Reserve",10527.4041371034
"Ocean_Pout",3,"Structural",3972.60533475599
"Ocean_Pout",4,"Reserve",17106.7535097075
"Ocean_Pout",4,"Structural",6455.37868290847
"Ocean_Pout",5,"Reserve",23323.0178468641
"Ocean_Pout",5,"Structural",8801.1388101374
"Ocean_Pout",6,"Reserve",28684.5932230865
"Ocean_Pout",6,"Structural",10824.3748011647
"Ocean_Pout",7,"Reserve",33058.0875171825
"Ocean_Pout",7,"Structural",12474.750006484
"Ocean_Pout",8,"Reserve",36499.1547845638
"Ocean_Pout",8,"Structural",13773.2659564392
"Ocean_Pout",9,"Reserve",39141.8922636359
"Ocean_Pout",9,"Structural",14770.5253825041
"Ocean_Pout",10,"Reserve",41138.1022846114
"Ocean_Pout",10,"Structural",15523.8121828722
"Offshore_Hake",1,"Reserve",1567.009770058
"Offshore_Hake",1,"Structural",591.324441531321
"Offshore_Hake",2,"Reserve",2842.07703107207
"Offshore_Hake",2,"Structural",1072.48189851776
"Offshore_Hake",3,"Reserve",3218.15065920826
"Offshore_Hake",3,"Structural",1214.39647517293
"Offshore_Hake",4,"Reserve",3311.69239243821
"Offshore_Hake",4,"Structural",1249.69524242951
"Offshore_Hake",5,"Reserve",3334.10800086855
"Offshore_Hake",5,"Structural",1258.15396259191
"Offshore_Hake",6,"Reserve",3339.43313140566
"Offshore_Hake",6,"Structural",1260.16344581346
"Offshore_Hake",7,"Reserve",3340.69560327074
"Offshore_Hake",7,"Structural",1260.63985029084
"Offshore_Hake",8,"Reserve",3340.9947628517
"Offshore_Hake",8,"Structural",1260.75274069875
"Offshore_Hake",9,"Reserve",3341.06564458417
"Offshore_Hake",9,"Structural",1260.77948852233
"Offshore_Hake",10,"Reserve",3341.08243857583
"Offshore_Hake",10,"Structural",1260.78582587767
"Other_Flatfish",1,"Reserve",12.2518744364379
"Other_Flatfish",1,"Structural",4.62334884393882
"Other_Flatfish",2,"Reserve",53.8492669664315
"Other_Flatfish",2,"Structural",20.3204781005402
"Other_Flatfish",3,"Reserve",126.151012902589
"Other_Flatfish",3,"Structural",47.6041558122978
"Other_Flatfish",4,"Reserve",221.415387046952
"Other_Flatfish",4,"Structural",83.5529762441327
"Other_Flatfish",5,"Reserve",329.850884239537
"Other_Flatfish",5,"Structural",124.472031788504
"Other_Flatfish",6,"Reserve",442.769655329966
"Other_Flatfish",6,"Structural",167.082888803761
"Other_Flatfish",7,"Reserve",553.633646278971
"Other_Flatfish",7,"Structural",208.918357086404
"Other_Flatfish",8,"Reserve",658.090732636858
"Other_Flatfish",8,"Structural",248.336125523343
"Other_Flatfish",9,"Reserve",753.611880857782
"Other_Flatfish",9,"Structural",284.381841833125
"Other_Flatfish",10,"Reserve",839.032693000124
"Other_Flatfish",10,"Structural",316.616110566085
"Pelagic_Shark",1,"Reserve",2066718.45166481
"Pelagic_Shark",1,"Structural",779893.755345212
"Pelagic_Shark",2,"Reserve",2211418.69928288
"Pelagic_Shark",2,"Structural",834497.622370899
"Pelagic_Shark",3,"Reserve",2215129.05603481
"Pelagic_Shark",3,"Structural",835897.756994267
"Pelagic_Shark",4,"Reserve",2215222.04388655
"Pelagic_Shark",4,"Structural",835932.84674964
"Pelagic_Shark",5,"Reserve",2215224.37299027
"Pelagic_Shark",5,"Structural",835933.725656704
"Pelagic_Shark",6,"Reserve",2215224.43132742
"Pelagic_Shark",6,"Structural",835933.747670724
