Code,Name,SVSPP,NESPP3
PIN,Pinnipeds,NA,NA
REP,Green seaturtle,951,809
REP,Hawksbill seaturtle,953,814
REP,Kemp’s Ridley seaturtle,954,810
REP,Leatherback seaturtle,952,812
REP,Loggerhead seaturtle,950,813
REP,Olive Ridley seaturtle,NA,818
REP,Turtles unclassified,NA,816
RWH,Right whales,NA,NA
BWH,Baleen whales,NA,NA
SWH,Small toothed whales,NA,NA
TWH,Toothed whales ,NA,NA
INV,Invasive vertebrate species,NA,NA
LSQ,Loligo squid,503,801
ISQ,Illex squid,502,802
SCA,Sea scallop,401,800
QHG,Ocean quahog,409,754
CLA,Atlantic surf clam,403,769
BFF,Bay scallop,402,799
BFF,Atlantic calico scallop,404,797
BFF,Iceland scallop,340,795
BFF,Scallop unclassified,NA,796
BFF,Arctic surfclam,407,765
BG,Benthic grazer,331,NA
LOB,Lobster,301,727
RCB,Red deep-sea crab,310,710
BMS,Atantic rock crab,313,712
BMS,Blue crab,314,700
BMS,Cancer crab,311,714
BMS,Green crab,327,708
BMS,Hermit crab,NA,702
BMS,Horseshoe crab,318,724
BMS,Jonah crab,312,711
BMS,Lady crab,322,701
BMS,Snow crab,325,718
BMS,Spider crab,317,715
BMS,Knobbed whelk,337,777
NSH,Northern shrimp other pandalids,306,736
NSH,Aesop shrimp,297,NA
NSH,Bristled longbeak,296,NA
OSH,Pink shrimp,914,NA
OSH,Brown shrimp,913,NA
OSH,White shrimp,915,NA
OSH,Other penaeids,307,NA
ZL,Carnivorous zooplankton,NA,NA
BD,Deposit Feeder,NA,NA
MA,Macroalgae,NA,NA
MB,Microphtybenthos,NA,NA
SG,Seagrass,NA,NA
BC,Starfish,NA,828
BC,Common octopus,511,NA
BC,Octopus unclassified,510,786
BC,Spoonarm octopus,512,NA
BC,Unicorn octopus,513,NA
ZG,Gelatinous zooplankton,NA,NA
PL,Diatom,NA,NA
DF,Dinoflagellates,NA,NA
PS,Pico-phytoplankton,NA,NA
ZM,Mesozooplankton,NA,NA
ZS,Microzooplankton,NA,NA
PB,Pelagic Bacteria,NA,NA
BB,Sediment Bacteria,NA,NA
BO,Meiobenthos,NA,NA
DL,Labile detritus,NA,NA
DR,Refractory detritus,NA,NA
DC,Carrion3,NA,NA
