|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|
|HAD|Haddock|Haddock|MELANOGRAMMUS AEGLEFINUS|74|148|164744|
|HAL|Atlantic halibut|Atlantic halibut|HIPPOGLOSSUS HIPPOGLOSSUS|101|159|172933|
|HER|Atlantic herring|Atlantic herring|CLUPEA HARENGUS|32|168|161722|
|INV|Invasive vertebrate species|Invasive vertebrate species|NA|NA| NA|NA|
|ISQ|Illex squid|Illex squid|ILLEX ILLECEBROSUS|502|802|082521|
|LOB|Lobster|Lobster|HOMARUS AMERICANUS|301|727|097314|
|LSK|Little skate|Little skate|LEUCORAJA ERINACEA|26|366|564130|
|LSQ|Loligo squid|Loligo squid|LOLIGO PEALEII|503|801|082372|
|MA|Macroalgae|Macroalgae|NA|NA| NA|NA|
|MAK|Atlantic mackerel|Atlantic mackerel|SCOMBER SCOMBRUS|121|212|172414|
|MB|Microphtybenthos|Microphtybenthos|NA|NA| NA|NA|
|MEN|Atlantic menhaden|Menhaden|BREVOORTIA|36|221|161731|
|MPF|Migratory mesopelagic fish|Lanternfish|MYCTOPHIDAE|56|655|162575|
|MPF|Migratory mesopelagic fish|Weitzmans pearlsides|NA|229| NA|NA|
|NSH|Northern shrimp other pandalids|Northern shrimp other pandalids|PANDALUS BOREALIS|306|736|096967|
|NSH|Northern shrimp other pandalids|Aesop shrimp|NA|297| NA|NA|
|NSH|Northern shrimp other pandalids|Bristled longbeak|NA|296| NA|NA|
|OHK|Offshore hake|Offshore hake|MERLUCCIUS ALBIDUS|69|508|164793|
|OPT|Ocean pout|Ocean pout|ZOARCES AMERICANUS|193|250|630979|
|OSH|Other shrimps|Pink shrimp|NA|914| NA|NA|
|OSH|Other shrimps|Brown shrimp|NA|913| NA|NA|
|OSH|Other shrimps|White shrimp|NA|915| NA|NA|
|OSH|Other shrimps|Other penaeids|NA|307| NA|NA|
|PB|Pelagic Bacteria|Pelagic Bacteria|NA|NA| NA|NA|
|PIN|Pinnipeds|Pinnipeds|NA|NA| NA|NA|
|PL|Diatom|Diatom|NA|NA| NA|NA|
|PLA|American plaice|American plaice|HIPPOGLOSSOIDES PLATESSOIDES|102|124|172877|
|POL|Pollock|Pollock|POLLACHIUS VIRENS|75|269|164727|
|POL|Pollock|Pollock|POLLACHIUS VIRENS|75|270|164727|
|POR|Porbeagle shark|Porbeagle shark|LAMNA NASUS|353|481|159911|
|PS|Pico-phytoplankton|Pico-phytoplankton|NA|NA| NA|NA|
|PSH|Other pelagic sharks|Dusky shark|CARCHARHINUS OBSCURUS|3|484|160268|
|PSH|Other pelagic sharks|Great hammerhead|SPHYRNA MOKARRAN|363|386|160515|
|PSH|Other pelagic sharks|Shortfin mako|ISURUS OXYRINCHUS|352|355|159924|
|PSH|Other pelagic sharks|White shark|CARCHARODON CARCHARIAS|351|480|159903|
|PSH|Other pelagic sharks|Blacknose shark|CARCHARHINUS ACRONOTUS|354|503|160304|
|PSH|Other pelagic sharks|Silky shark|CARCHARHINUS FALCIFORMIS|355|485|160310|
|PSH|Other pelagic sharks|Blacktip shark|CARCHARHINUS LIMBATUS|357|487|160318|
|PSH|Other pelagic sharks|Tiger shark|GALEOCERDO CUVIER|358|491|160189|
|PSH|Other pelagic sharks|Finetooth shark|CARCHARHINUS ISODON|928|499|160409|
|PSH|Other pelagic sharks|Bignose shark|CARCHARHINUS ALTIMUS|929|483|160307|
|QHG|Ocean quahog|Ocean quahog|ARCTICA ISLANDICA|409|754|081343|
|RCB|Red deep-sea crab|Red deep-sea crab|CHACEON QUINQUEDENS|310|710|620992|
|RED|Acadian redfish|Acadian redfish|SEBASTES FASCIATUS|155|240|166774|
|REP|Marine turtles|Green seaturtle|CHELONIA MYDAS|951|809|173833|
|REP|Marine turtles|Hawksbill seaturtle|ERETMOCHELYS IMBRICATA|953|814|173836|
|REP|Marine turtles|Kemp’s Ridley seaturtle|LEPIDOCHELYS KEMPI|954|810|551770|
|REP|Marine turtles|Leatherback seaturtle|DERMOCHELYS CORIACEA|952|812|173843|
|REP|Marine turtles|Loggerhead seaturtle|CARETTA CARETTA|950|813|173830|
|REP|Marine turtles|Olive Ridley seaturtle|LEPIDOCHELYS OLIVACEA|NA|818|173840|
|REP|Marine turtles|Turtles unclassified|TESTUDINES|NA|816|173749|
|RHK|Red hake|Red hake|UROPHYCIS CHUSS|77|152|164730|
|RWH|Right whales|Right whales|NA|NA| NA|NA|
|SAL|Atlantic salmon|Atlantic salmon|SALMO SALAR|894|305|161996|
|SB|Seabirds|Seabirds|NA|NA| NA|NA|
|SCA|Sea scallop|Sea scallop|PLACOPECTEN MAGELLANICUS|401|800|079718|
|SCU|Scup|Scup|STENOTOMUS CHRYSOPS|143|329|169182|
|SDF|Atlantic states demersal fish|American eel|ANGUILLA ROSTRATA|384|115|161127|
|SG|Seagrass|Seagrass|NA|NA| NA|NA|
|SHK|Silver hake|Silver hake|MERLUCCIUS BILINEARIS|72|509|164791|
|SK|Northeast skate complex|Barndoor skate|DIPTURUS LAEVIS|22|368|564139|
|SK|Northeast skate complex|Clearnose skate|RAJA EGLANTERIA|24|372|160855|
|SK|Northeast skate complex|Rosette skate|LEUCORAJA GARMANI|25|364|564136|
|SK|Northeast skate complex|Smooth skate|MALACORAJA SENTA|27|369|564151|
|SK|Northeast skate complex|Thorny skate|AMBLYRAJA RADIATA|28|370|564149|
|SK|Northeast skate complex|Atlantic torpedo|OSTEICHTHYES|21|526|161030|
|SK|Northeast skate complex|Bullnose ray|NA|19| NA|NA|
|SK|Northeast skate complex|Cownose ray|RHINOPTERA BONASUS|270|285|160985|
|SK|Northeast skate complex|Spotted eagle ray|NA|271| NA|NA|
|SK|Northeast skate complex|Bluntnose stingray|NA|18| NA|NA|
|SK|Northeast skate complex|Roughtail stingray|NA|4| NA|NA|
|SK|Northeast skate complex|Atlantic stingray|DASYATIDAE|373|286|160946|
|SK|Northeast skate complex|Yellow stingray|NA|377| NA|NA|
|SMO|Smooth dogfish|Smooth dogfish|MUSTELUS CANIS|13|351|160230|
|SSH|Sandbar shark|Sandbar shark|CARCHARHINUS PLUMBEUS|9|482|160289|
|STB|Striped bass|Striped Bass|MORONE SAXATILIS|139|418|167680|
|SUF|Summer flounder|Summer flounder|PARALICHTHYS DENTATUS|103|121|172735|
|SWH|Small toothed whales|Small toothed whales|NA|NA| NA|NA|
|TAU|Tautog|Tautog|TAUTOGA ONITIS|177|438|170479|
|TUN|Other tunas|Albacore|THUNNUS ALALUNGA|703|470|172419|
|TUN|Other tunas|Bigeye tuna|THUNNUS OBESUS|706|469|172428|
|TUN|Other tunas|Blackfin tuna|THUNNUS ATLANTICUS|705|464|172427|
|TUN|Other tunas|Little tunny|EUTHYNNUS ALLETTERATUS|743|468|172402|
|TWH|Toothed whales|Toothed whales|NA|NA| NA|NA|
|TYL|Tilefish|Blueline tilefish|CAULOLATILUS MICROPS|621|444|168543|
|TYL|Tilefish|Tilefish|LOPHOLATILUS CHAMAELEONTICEPS|151|446|168546|
|TYL|Tilefish|Tilefish unclassified|MALACANTHIDAE|NA|447|168537|
|WHK|White hake|White hake|UROPHYCIS TENUIS|76|153|164732|
|WHK|White hake|White hake|UROPHYCIS TENUIS|76|154|164732|
|WIF|Winter flounder|Winter flounder|PSEUDOPLEURONECTES AMERICANUS|106|119|172905|
|WIF|Winter flounder|Winter flounder|PSEUDOPLEURONECTES AMERICANUS|106|120|172905|
|WOL|Wolffish|Northern wolffish|ANARHICHAS DENTICULATUS|NA|668|550561|
|WOL|Wolffish|Spotted wolffish|ANARHICHAS MINOR|NA|510|171342|
|WPF|Windowpane flounder|Windowpane flounder|SCOPHTHALMUS AQUOSUS|108|125|172746|
|WSK|Winter skate|Winter skate|LEUCORAJA OCELLATA|23|367|564145|
|WTF|Witch flounder|Witch flounder|GLYPTOCEPHALUS CYNOGLOSSUS|107|122|172873|
|YTF|Yellowtail flounder|Yellowtail flounder|LIMANDA FERRUGINEA|105|123|172909|
|ZG|Gelatinous zooplankton|Gelatinous zooplankton|NA|NA| NA|NA|
|ZL|Carnivorous zooplankton|Carnivorous zooplankton|NA|NA| NA|NA|
|ZM|Mesozooplankton|Mesozooplankton|NA|NA| NA|NA|
|ZS|Microzooplankton|Microzooplankton|NA|NA| NA|NA|
