"Code","Description","Units","AssessmentYear","year.min","year.max"
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2014,1969,2013
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2015,1969,2014
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2016,1969,2015
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2017,1969,2016
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2018,1969,2017
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2019,1969,2018
"WSK","3-Year Average Survey CPUE","Kilograms / Tow",2020,1969,2019
"WTF","Spawning Stock Biomass","Metric Tons",2005,1982,2004
"WTF","Mature Biomass (Mean)","Metric Tons",2008,1982,2007
"WTF","Mature Biomass (Mean)","Metric Tons",2012,1982,2010
"WTF","Mature Biomass (Retro Adjusted 2014)","Metric Tons",2015,1982,2014
"WTF","Exploitable Biomass","Metric Tons",2019,1968,2019
"YTF","Spawning Stock Biomass","Metric Tons",2005,1973,2004
"YTF","Mature Biomass (Mean)","Metric Tons",2008,1973,2007
"YTF","Mature Biomass (Mean)","Metric Tons",2010,1973,2009
"YTF","Mature Biomass (Mean)","Metric Tons",2011,1973,2010
"YTF","Mature Biomass (Mean)","Metric Tons",2012,1973,2011
"YTF","Mature Biomass (Retro Adjusted 2014)","Metric Tons",2015,1973,2014
"YTF","Mature Biomass, Retro Adjusted Terminal Year (Mean)","Metric Tons",2017,1973,2016
"YTF","Survey Biomass - Three Survey Average","Metric Tons",2018,2010,2018
"YTF","Retrospective Adjusted Spawning Stock Biomass","Metric Tons",2019,1973,2018
"YTF","Survey-Estimated Biomass","Metric Tons",2020,2010,2020
"YTF","Survey-Estimated Biomass","Metric Tons",2021,2010,2021
