"Code","species","NumAgeClassSize","agecl","length.ref","yr.upper","ref.year","new.length.ref"
"BSB","Black sea bass",2,8,58.58608057,16,15,58.43935583
"BSB","Black sea bass",2,9,58.73775032,18,17,58.661915445
"BSB","Black sea bass",2,10,58.81614104,20,19,58.77694568
"BLS","Blue shark",7,1,280.5682363,7,3.5,140.28411815
"BLS","Blue shark",7,2,281.9907311,14,10.5,281.2794837
"BLS","Blue shark",7,3,281.99994,21,17.5,281.99533555
"BLS","Blue shark",7,4,281.9999996,28,24.5,281.9999698
"BLS","Blue shark",7,5,282,35,31.5,281.9999998
"BLS","Blue shark",7,6,282,42,38.5,282
"BLS","Blue shark",7,7,282,49,45.5,282
"BLS","Blue shark",7,8,282,56,52.5,282
"BLS","Blue shark",7,9,282,63,59.5,282
"BLS","Blue shark",7,10,282,70,66.5,282
"BLF","Bluefish",1,1,27.04251454,1,0.5,13.52125727
"BLF","Bluefish",1,2,41.56631964,2,1.5,34.30441709
"BLF","Bluefish",1,3,52.21876028,3,2.5,46.89253996
"BLF","Bluefish",1,4,60.03176044,4,3.5,56.12526036
"BLF","Bluefish",1,5,65.76218163,5,4.5,62.896971035
"BLF","Bluefish",1,6,69.96514161,6,5.5,67.86366162
"BLF","Bluefish",1,7,73.04778982,7,6.5,71.506465715
"BLF","Bluefish",1,8,75.30874876,8,7.5,74.17826929
"BLF","Bluefish",1,9,76.96704221,9,8.5,76.137895485
"BLF","Bluefish",1,10,78.1833125,10,9.5,77.575177355
"BUT","Butterfish",1,1,12.64473294,1,0.5,6.32236647
"BUT","Butterfish",1,2,17.47590455,2,1.5,15.060318745
"BUT","Butterfish",1,3,19.52027319,3,2.5,18.49808887
"BUT","Butterfish",1,4,20.38537248,4,3.5,19.952822835
"BUT","Butterfish",1,5,20.7514497,5,4.5,20.56841109
"BUT","Butterfish",1,6,20.90635969,6,5.5,20.828904695
"BUT","Butterfish",1,7,20.97191173,7,6.5,20.93913571
"BUT","Butterfish",1,8,20.99965087,8,7.5,20.9857813
"BUT","Butterfish",1,9,21.01138902,9,8.5,21.005519945
"BUT","Butterfish",1,10,21.01635616,10,9.5,21.01387259
"DRM","Drums and croakers",2,1,35.210542,2,1,17.605271
"DRM","Drums and croakers",2,2,44.39346466,4,3,39.80200333
"DRM","Drums and croakers",2,3,46.78837436,6,5,45.59091951
"DRM","Drums and croakers",2,4,47.41296771,8,7,47.100671035
"DRM","Drums and croakers",2,5,47.5758619,10,9,47.494414805
"DRM","Drums and croakers",2,6,47.61834476,12,11,47.59710333
"DRM","Drums and croakers",2,7,47.62942431,14,13,47.623884535
"DRM","Drums and croakers",2,8,47.63231386,16,15,47.630869085
"DRM","Drums and croakers",2,9,47.63306745,18,17,47.632690655
"DRM","Drums and croakers",2,10,47.63326399,20,19,47.63316572
"FOU","Fourspot flounder",2,1,16.37968127,2,1,8.189840635
"FOU","Fourspot flounder",2,2,26.21560745,4,3,21.29764436
"FOU","Fourspot flounder",2,3,32.12203764,6,5,29.168822545
"FOU","Fourspot flounder",2,4,35.66882285,8,7,33.895430245
"FOU","Fourspot flounder",2,5,37.79865169,10,9,36.73373727
"FOU","Fourspot flounder",2,6,39.0776045,12,11,38.438128095
"FOU","Fourspot flounder",2,7,39.84561,14,13,39.46160725
"FOU","Fourspot flounder",2,8,40.30679391,16,15,40.076201955
"FOU","Fourspot flounder",2,9,40.58373281,18,17,40.44526336
"FOU","Fourspot flounder",2,10,40.75003339,20,19,40.6668831
"GOO","Goosefish",1,1,12.71523301,1,0.5,6.357616505
"GOO","Goosefish",1,2,25.4648012,2,1.5,19.090017105
"GOO","Goosefish",1,3,37.04732512,3,2.5,31.25606316
"GOO","Goosefish",1,4,47.56963132,4,3.5,42.30847822
"GOO","Goosefish",1,5,57.12876787,5,4.5,52.349199595
"GOO","Goosefish",1,6,65.81289945,6,5.5,61.47083366
"GOO","Goosefish",1,7,73.7021205,7,6.5,69.757509975
"GOO","Goosefish",1,8,80.86919394,8,7.5,77.28565722
"GOO","Goosefish",1,9,87.38022226,9,8.5,84.1247081
"GOO","Goosefish",1,10,93.2952572,10,9.5,90.33773973
"HAD","Haddock",2,1,50.94294195,2,1,25.471470975
"HAD","Haddock",2,2,66.28666121,4,3,58.61480158
"HAD","Haddock",2,3,70.90810063,6,5,68.59738092
"HAD","Haddock",2,4,72.30005144,8,7,71.604076035
"HAD","Haddock",2,5,72.71929897,10,9,72.509675205
"HAD","Haddock",2,6,72.84557389,12,11,72.78243643
"HAD","Haddock",2,7,72.88360717,14,13,72.86459053
"HAD","Haddock",2,8,72.89506258,16,15,72.889334875
"HAD","Haddock",2,9,72.89851288,18,17,72.89678773
"HAD","Haddock",2,10,72.89955209,20,19,72.899032485
"INV","Invasive vertebrate species",2,1,31.87718469,2,1,15.938592345
"INV","Invasive vertebrate species",2,2,39.90651099,4,3,35.89184784
"INV","Invasive vertebrate species",2,3,41.86681708,6,5,40.886664035
"INV","Invasive vertebrate species",2,4,42.34541264,8,7,42.10611486
"INV","Invasive vertebrate species",2,5,42.46225854,10,9,42.40383559
"INV","Invasive vertebrate species",2,6,42.49078567,12,11,42.476522105
"INV","Invasive vertebrate species",2,7,42.49775038,14,13,42.494268025
"INV","Invasive vertebrate species",2,8,42.49945077,16,15,42.498600575
"INV","Invasive vertebrate species",2,9,42.49986591,18,17,42.49965834
"INV","Invasive vertebrate species",2,10,42.49996726,20,19,42.499916585
"LSK","Little skate",3,1,47.28260293,3,1.5,23.641301465
"LSK","Little skate",3,2,52.0366049,6,4.5,49.659603915
"LSK","Little skate",3,3,52.61876301,9,7.5,52.327683955
"LSK","Little skate",3,4,52.69005201,12,10.5,52.65440751
"LSK","Little skate",3,5,52.6987818,15,13.5,52.694416905
"LSK","Little skate",3,6,52.69985082,18,16.5,52.69931631
"LSK","Little skate",3,7,52.69998173,21,19.5,52.699916275
"LSK","Little skate",3,8,52.69999776,24,22.5,52.699989745
"LSK","Little skate",3,9,52.69999973,27,25.5,52.699998745
"LSK","Little skate",3,10,52.69999997,30,28.5,52.69999985
"REP","Marine turtles",8,1,114.1776872,8,4,57.0888436
"REP","Marine turtles",8,2,114.2998691,16,12,114.23877815
"REP","Marine turtles",8,3,114.2999999,24,20,114.2999345
"REP","Marine turtles",8,4,114.3,32,28,114.29999995
"REP","Marine turtles",8,5,114.3,40,36,114.3
"REP","Marine turtles",8,6,114.3,48,44,114.3
"REP","Marine turtles",8,7,114.3,56,52,114.3
"REP","Marine turtles",8,8,114.3,64,60,114.3
"REP","Marine turtles",8,9,114.3,72,68,114.3
"REP","Marine turtles",8,10,114.3,80,76,114.3
"MPF","Migratory mesopelagic fish",1,1,4.115706848,1,0.5,2.057853424
"MPF","Migratory mesopelagic fish",1,2,5.453275231,2,1.5,4.7844910395
"MPF","Migratory mesopelagic fish",1,3,6.424549224,3,2.5,5.9389122275
"MPF","Migratory mesopelagic fish",1,4,7.129838899,4,3.5,6.7771940615
"MPF","Migratory mesopelagic fish",1,5,7.641984317,5,4.5,7.385911608
"MPF","Migratory mesopelagic fish",1,6,8.01387822,6,5.5,7.8279312685
"MPF","Migratory mesopelagic fish",1,7,8.283928619,7,6.5,8.1489034195
"MPF","Migratory mesopelagic fish",1,8,8.480025456,8,7.5,8.3819770375
"MPF","Migratory mesopelagic fish",1,9,8.622420986,9,8.5,8.551223221
"MPF","Migratory mesopelagic fish",1,10,8.725821362,10,9.5,8.674121174
"FDF","Miscellaneous demersal fish",2,1,10.94056932,2,1,5.47028466
"FDF","Miscellaneous demersal fish",2,2,19.67679137,4,3,15.308680345
"FDF","Miscellaneous demersal fish",2,3,26.65280636,6,5,23.164798865
"FDF","Miscellaneous demersal fish",2,4,32.22326748,8,7,29.43803692
"FDF","Miscellaneous demersal fish",2,5,36.67137102,10,9,34.44731925
"FDF","Miscellaneous demersal fish",2,6,40.22325385,12,11,38.447312435
"FDF","Miscellaneous demersal fish",2,7,43.05948989,14,13,41.64137187
"FDF","Miscellaneous demersal fish",2,8,45.32427037,16,15,44.19188013
"FDF","Miscellaneous demersal fish",2,9,47.13273431,18,17,46.22850234
"FDF","Miscellaneous demersal fish",2,10,48.57682211,20,19,47.85477821
"SK","Northeast skate complex",3,1,71.7058253,3,1.5,35.85291265
"SK","Northeast skate complex",3,2,94.1807692,6,4.5,82.94329725
"SK","Northeast skate complex",3,3,103.4564971,9,7.5,98.81863315
"SK","Northeast skate complex",3,4,107.2847215,12,10.5,105.3706093
"SK","Northeast skate complex",3,5,108.8646839,15,13.5,108.0747027
"SK","Northeast skate complex",3,6,109.5167568,18,16.5,109.19072035
"SK","Northeast skate complex",3,7,109.7858765,21,19.5,109.65131665
"SK","Northeast skate complex",3,8,109.8969461,24,22.5,109.8414113
"SK","Northeast skate complex",3,9,109.942786,27,25.5,109.91986605
"SK","Northeast skate complex",3,10,109.9617048,30,28.5,109.9522454
"OPT","Ocean pout",2,1,33.49836338,2,1,16.74918169
"OPT","Ocean pout",2,2,57.79885504,4,3,45.64860921
"OPT","Ocean pout",2,3,75.42699671,6,5,66.612925875
"OPT","Ocean pout",2,4,88.21486054,8,7,81.820928625
"OPT","Ocean pout",2,5,97.4914743,10,9,92.85316742
"OPT","Ocean pout",2,6,104.2209456,12,11,100.85620995
"OPT","Ocean pout",2,7,109.1026606,14,13,106.6618031
"OPT","Ocean pout",2,8,112.6439701,16,15,110.87331535
"OPT","Ocean pout",2,9,115.2129184,18,17,113.92844425
"OPT","Ocean pout",2,10,117.0764932,20,19,116.1447058
"OHK","Offshore hake",2,1,32.81210638,2,1,16.40605319
"OHK","Offshore hake",2,2,40.5862052,4,3,36.69915579
"OHK","Offshore hake",2,3,42.42810501,6,5,41.507155105
"OHK","Offshore hake",2,4,42.8645022,8,7,42.646303605
"OHK","Offshore hake",2,5,42.96789681,10,9,42.916199505
"OHK","Offshore hake",2,6,42.99239386,12,11,42.980145335
"OHK","Offshore hake",2,7,42.9981979,14,13,42.99529588
"OHK","Offshore hake",2,8,42.99957303,16,15,42.998885465
"OHK","Offshore hake",2,9,42.99989884,18,17,42.999735935
"OHK","Offshore hake",2,10,42.99997603,20,19,42.999937435
"BPF","Other benthopelagic fish",1,1,17.62174154,1,0.5,8.81087077
"BPF","Other benthopelagic fish",1,2,24.59907479,2,1.5,21.110408165
"BPF","Other benthopelagic fish",1,3,27.36175175,3,2.5,25.98041327
"BPF","Other benthopelagic fish",1,4,28.45563442,4,3.5,27.908693085
"BPF","Other benthopelagic fish",1,5,28.88875756,5,4.5,28.67219599
"BPF","Other benthopelagic fish",1,6,29.06025278,6,5.5,28.97450517
"BPF","Other benthopelagic fish",1,7,29.12815636,7,6.5,29.09420457
"BPF","Other benthopelagic fish",1,8,29.1550428,8,7.5,29.14159958
"BPF","Other benthopelagic fish",1,9,29.16568849,9,8.5,29.160365645
"BPF","Other benthopelagic fish",1,10,29.16990366,10,9.5,29.167796075
"DSH","Other demersal sharks",5,1,292.5847213,5,2.5,146.29236065
"DSH","Other demersal sharks",5,2,300.5014198,10,7.5,296.54307055
"DSH","Other demersal sharks",5,3,300.775859,15,12.5,300.6386394
"DSH","Other demersal sharks",5,4,300.7853726,20,17.5,300.7806158
"DSH","Other demersal sharks",5,5,300.7857024,25,22.5,300.7855375
"DSH","Other demersal sharks",5,6,300.7857139,30,27.5,300.78570815
"DSH","Other demersal sharks",5,7,300.7857143,35,32.5,300.7857141
"DSH","Other demersal sharks",5,8,300.7857143,40,37.5,300.7857143
"DSH","Other demersal sharks",5,9,300.7857143,45,42.5,300.7857143
"DSH","Other demersal sharks",5,10,300.7857143,50,47.5,300.7857143
"FLA","Other flatfish",2,1,4.837310521,2,1,2.4186552605
"FLA","Other flatfish",2,2,7.683062395,4,3,6.260186458
"FLA","Other flatfish",2,3,10.02464567,6,5,8.8538540325
"FLA","Other flatfish",2,4,11.95138153,8,7,10.9880136
"FLA","Other flatfish",2,5,13.53676658,10,9,12.744074055
"FLA","Other flatfish",2,6,14.84127635,12,11,14.189021465
"FLA","Other flatfish",2,7,15.9146722,14,13,15.377974275
"FLA","Other flatfish",2,8,16.7978995,16,15,16.35628585
"FLA","Other flatfish",2,9,17.52464954,18,17,17.16127452
"FLA","Other flatfish",2,10,18.12264466,20,19,17.8236471
"PSH","Other pelagic sharks",7,1,302.4874614,7,3.5,151.2437307
"PSH","Other pelagic sharks",7,2,309.0752021,14,10.5,305.78133175
"PSH","Other pelagic sharks",7,3,309.2402054,21,17.5,309.15770375
"PSH","Other pelagic sharks",7,4,309.2443383,28,24.5,309.24227185
"PSH","Other pelagic sharks",7,5,309.2444418,35,31.5,309.24439005
"PSH","Other pelagic sharks",7,6,309.2444444,42,38.5,309.2444431
"PSH","Other pelagic sharks",7,7,309.2444444,49,45.5,309.2444444
"PSH","Other pelagic sharks",7,8,309.2444444,56,52.5,309.2444444
"PSH","Other pelagic sharks",7,9,309.2444444,63,59.5,309.2444444
"PSH","Other pelagic sharks",7,10,309.2444444,70,66.5,309.2444444
"TUN","Other tunas",3,1,111.6551854,3,1.5,55.8275927
"TUN","Other tunas",3,2,128.8329283,6,4.5,120.24405685
"TUN","Other tunas",3,3,132.6658008,9,7.5,130.74936455
"TUN","Other tunas",3,4,133.5210303,12,10.5,133.09341555
"TUN","Other tunas",3,5,133.7118578,15,13.5,133.61644405
"TUN","Other tunas",3,6,133.7544372,18,16.5,133.7331475
"TUN","Other tunas",3,7,133.7639379,21,19.5,133.75918755
"TUN","Other tunas",3,8,133.7660578,24,22.5,133.76499785
"TUN","Other tunas",3,9,133.7665308,27,25.5,133.7662943
"TUN","Other tunas",3,10,133.7666364,30,28.5,133.7665836
"PIN","Pinnipeds",3,1,198.0310264,3,1.5,99.0155132
"PIN","Pinnipeds",3,2,207.8904107,6,4.5,202.96071855
"PIN","Pinnipeds",3,3,208.3812805,9,7.5,208.1358456
"PIN","Pinnipeds",3,4,208.4057195,12,10.5,208.3935
"PIN","Pinnipeds",3,5,208.4069362,15,13.5,208.40632785
"PIN","Pinnipeds",3,6,208.4069968,18,16.5,208.4069665
"PIN","Pinnipeds",3,7,208.4069998,21,19.5,208.4069983
"PIN","Pinnipeds",3,8,208.407,24,22.5,208.4069999
"PIN","Pinnipeds",3,9,208.407,27,25.5,208.407
"PIN","Pinnipeds",3,10,208.407,30,28.5,208.407
"POL","Pollock",2,1,42.34746865,2,1,21.173734325
"POL","Pollock",2,2,67.77693634,4,3,55.062202495
"POL","Pollock",2,3,83.04721926,6,5,75.4120778
"POL","Pollock",2,4,92.21695665,8,7,87.632087955
"POL","Pollock",2,5,97.7233434,10,9,94.970150025
"POL","Pollock",2,6,101.0299043,12,11,99.37662385
"POL","Pollock",2,7,103.0154795,14,13,102.0226919
"POL","Pollock",2,8,104.2078086,16,15,103.61164405
"POL","Pollock",2,9,104.923797,18,17,104.5658028
"POL","Pollock",2,10,105.3537449,20,19,105.13877095
"POR","Porbeagle shark",7,1,269.1214865,7,3.5,134.56074325
"POR","Porbeagle shark",7,2,279.5773498,14,10.5,274.34941815
"POR","Porbeagle shark",7,3,279.9835793,21,17.5,279.78046455
"POR","Porbeagle shark",7,4,279.999362,28,24.5,279.99147065
"POR","Porbeagle shark",7,5,279.9999752,35,31.5,279.9996686
"POR","Porbeagle shark",7,6,279.999999,42,38.5,279.9999871
"POR","Porbeagle shark",7,7,280,49,45.5,279.9999995
"POR","Porbeagle shark",7,8,280,56,52.5,280
"POR","Porbeagle shark",7,9,280,63,59.5,280
"POR","Porbeagle shark",7,10,280,70,66.5,280
"RHK","Red hake",2,1,26.15536859,2,1,13.077684295
"RHK","Red hake",2,2,40.94689489,4,3,33.55113174
"RHK","Red hake",2,3,49.31187928,6,5,45.129387085
"RHK","Red hake",2,4,54.04249076,8,7,51.67718502
"RHK","Red hake",2,5,56.71777188,10,9,55.38013132
"RHK","Red hake",2,6,58.23071142,12,11,57.47424165
"RHK","Red hake",2,7,59.08631721,14,13,58.658514315
"RHK","Red hake",2,8,59.57018405,16,15,59.32825063
"RHK","Red hake",2,9,59.84382306,18,17,59.707003555
"RHK","Red hake",2,10,59.99857288,20,19,59.92119797
"RWH","Right whales",9,1,1584.939384,9,4.5,792.469692
"RWH","Right whales",9,2,1584.96,18,13.5,1584.949692
"RWH","Right whales",9,3,1584.96,27,22.5,1584.96
"RWH","Right whales",9,4,1584.96,36,31.5,1584.96
"RWH","Right whales",9,5,1584.96,45,40.5,1584.96
"RWH","Right whales",9,6,1584.96,54,49.5,1584.96
"RWH","Right whales",9,7,1584.96,63,58.5,1584.96
"RWH","Right whales",9,8,1584.96,72,67.5,1584.96
"RWH","Right whales",9,9,1584.96,81,76.5,1584.96
"RWH","Right whales",9,10,1584.96,90,85.5,1584.96
"SSH","Sandbar shark",5,1,116.9447662,5,2.5,58.4723831
"SSH","Sandbar shark",5,2,151.3635473,10,7.5,134.15415675
"SSH","Sandbar shark",5,3,168.6271842,15,12.5,159.99536575
"SSH","Sandbar shark",5,4,177.2862113,20,17.5,172.95669775
"SSH","Sandbar shark",5,5,181.6293721,25,22.5,179.4577917
"SSH","Sandbar shark",5,6,183.8077977,30,27.5,182.7185849
"SSH","Sandbar shark",5,7,184.9004438,35,32.5,184.35412075
"SSH","Sandbar shark",5,8,185.4484889,40,37.5,185.17446635
"SSH","Sandbar shark",5,9,185.7233752,45,42.5,185.58593205
"SSH","Sandbar shark",5,10,185.8612516,50,47.5,185.7923134
"SCU","Scup",2,1,16.93898746,2,1,8.46949373
"SCU","Scup",2,2,27.11077454,4,3,22.024881
"SCU","Scup",2,3,33.21888771,6,5,30.164831125
"SCU","Scup",2,4,36.88678266,8,7,35.052835185
"SCU","Scup",2,5,39.08933736,10,9,37.98806001
"SCU","Scup",2,6,40.41196172,12,11,39.75064954
"SCU","Scup",2,7,41.2061918,14,13,40.80907676
